"","SPECIES","DATE","STATE","TIME","LOC","LAT","LONG","BAND_PR","BAND_N","L","R","AGE","SEX","WT","FAT","BM","BILL_L","BILL_W","BILL_D","WING","TARS","TAIL","RFID","GEOLOCATOR_ID","FEEDER","BANDER","NOTES","RECAP"
"74","LAZB",2019-07-09,"UT",0,"CC",NA,NA,2811,18173,"B","A","SY","M",15.7,0,NA,7.3,4.52,6.09,72,17.68,55,"011016B274","BT174","CC2","KSS","MEDIUM CP","N"
"75","LAZB",2019-07-10,"UT",0,"TG",41.894384,-111.641077,2811,18174,"U","A","ASY","M",14.9,0,NA,8.33,5.26,6.4,72,17.63,56,"01103F7805",NA,NA,"KSS","LARGE CP","N"
"76","LAZB",2019-07-10,"UT",0,"CG",41.8828,-111.567,2811,18175,"A","A","N","U",11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19-1","AMV","DAY 7 AVERAGE LOOKING, PINS BREAKING","N"
"77","LAZB",2019-07-10,"UT",0,"CG",41.8828,-111.567,2811,18176,"A",NA,"N","U",8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19-1","AMV","DAY 7 AVERAGE LOOKING, PINS BREAKING","N"
"78","BALO",2019-07-10,"UT",NA,"CG",NA,NA,2811,18177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"band came off string and flung into tall grass","N"
"79","LAZB",2019-07-10,"UT",0,"CG",41.8828,-111.567,2811,18178,"A",NA,"N","U",13.3,NA,NA,NA,NA,NA,NA,16.43,NA,NA,NA,"19-1","AMV","DAY 7+ LOOKING, MOST TRACKS BROKEN, FLANKS ALMOST OUT OF PIN","N"
"80","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18179,"B","A","ASY","M",13.9,0,NA,8.35,4.93,6.02,75,16.59,58,"01103F8E55",NA,"DC1","KSS","LARGE CP","N"
"81","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18171,"B","A",NA,"M",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT180","DC1","KSS",NA,"N"
"82","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18180,"U","A","SY","F",14.1,0,NA,7.48,4.76,5.91,65,17.14,55,"01103F7EBE",NA,"DC1","AMV","FULL BP","N"
"83","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18108,"B","A","ASY","M",14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DC1","KSS","SMALL CP","N"
"84","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18181,"B","A","SY","M",14.4,0,NA,6.78,4.6,5.74,72,16.71,53,"01103F3CB6",NA,"DC1","KSS","SMALL CP","N"
"85","LAZB",2019-07-11,"UT",0,"DC",NA,NA,2811,18182,"B","A","SY","F",15.4,0,NA,7.55,5.22,6.14,69,17.21,55,"01103F5BCC",NA,"DC1","AMV","FULL BP","N"
"86","LAZB",2019-07-12,"UT",0,"CG",NA,NA,2811,18183,"P","A","SY","M",14.7,0,NA,7.8,4.05,5.95,75,16.55,58,"01103F51A8",NA,"CG3","KSS","LARGE CP","N"
"87","LAZB",2019-07-12,"UT",0,"CG",NA,NA,2811,18184,"P","WA","ASY","M",15.5,0,NA,8.14,5.1,5.89,72,16.81,55,"01101729E3","BT181","CG3","KSS","LARGE CP","N"
"88","LAZB",2019-07-15,"UT",0,"CG",41.880565,-111.565459,2811,18185,"A",NA,"HY","U",6.8,NA,NA,NA,NA,NA,NA,13.51,NA,NA,NA,"19-6","AMV","PINS BROKEN 2 MM","N"
"89","BHCO",2019-07-15,"UT",0,"CG",41.880565,-111.565459,NA,NA,NA,NA,"HY","U",11.7,NA,NA,NA,NA,NA,NA,17.3,NA,NA,NA,"19-6","AMV","BROOD PARASITE, PINS 7MM BROKEN","N"
"90","LAZB",2019-07-15,"UT",0,"CG",41.880565,-111.565459,2811,18186,"A",NA,"HY","U",5.1,NA,NA,NA,NA,NA,NA,12.79,NA,NA,NA,"19-6","AMV","PINS 1MM BROKEN","N"
"91","LAZB",2019-07-15,"UT",0,"CG",41.880565,-111.565459,2811,18187,"A",NA,"HY","U",6.7,NA,NA,NA,NA,NA,NA,14.51,NA,NA,NA,"19-6","AMV","PINS 3MM BROKEN","N"
"92","LAZB",2019-07-16,"UT",0,"DC",NA,NA,2811,18188,"U","A","ASY","F",14.1,0,NA,7.45,4.78,6.17,65,15.92,52,"01103F3BEE",NA,"DC1","AMV","FULL BP","N"
"93","LAZB",2019-07-16,"UT",0,"DC",NA,NA,2811,18189,"U","A","SY","M",14.3,0,NA,7.74,5.43,6.11,72,17.11,54,"01103F4435",NA,"DC1","KSS","NO CP","N"
"94","LAZB",2019-07-17,"UT",0,"CG",NA,NA,2811,18190,"P","OA","ASY","M",15.1,0,NA,8.22,5.08,6.15,73,17.27,55,"0110171AC2","BT168","CG4","KSS","MED CP","N"
"95","LAZB",2019-07-18,"UT",0,"DC",NA,NA,2811,18191,"U","A","SY","F",14.8,0,NA,7.82,5.2,6.18,68,17.9,51,"01103F3D45",NA,"DC1","AMV","FULL BP","N"
"96","LAZB",2019-07-18,"UT",0,"DC",NA,NA,2811,18192,"U","A","SY","F",14.9,0,NA,7.24,4.94,6.17,70,17.43,55,"01103F6CBB",NA,"DC1","AMV","FULL BP","N"
"97","LAZB",2019-07-18,"UT",0,"DC",NA,NA,2811,18193,"U","A","SY","M",14.7,0,NA,7.21,5.4,6.1,71,17.16,54,"01103F5A24",NA,"DC1","KSS","SMALL CP","N"
"98","LAZB",2019-07-19,"UT",0,"CG",NA,NA,2811,18194,"P","A","SY","M",14.6,0,NA,7.66,4.79,5.81,72,17.27,55,"0110174612",NA,"CG6","KSS","SMALL CP","N"
"99","LAZB",2019-07-19,"UT",0,"CG",NA,NA,2811,18141,"P","OA",NA,"M",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BT165","CG6","KSS","RECAP, OF WEIGHT, ADDED GEO AND ORANGE BAND","N"
"100","LAZB",2019-07-19,"UT",0,"CG",NA,NA,2811,18195,"P","A","SY","M",14.5,0,NA,7.81,4.88,5.71,72,16.5,55,"01103F82EC",NA,"CG6","KSS","LARGE CP","N"
